               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  70,            0.011399,           0.0041062,           0.0014945,              0.9604,             0.97344,             0.98746,             0.93121,             0.00838,           0.0030038,          0.00098237,            0.003169,            0.003169,            0.003169
                  71,             0.01095,           0.0040687,           0.0014245,             0.94844,             0.98182,              0.9826,             0.92285,            0.008398,           0.0030395,          0.00094918,             0.00307,             0.00307,             0.00307
                  72,            0.011293,            0.003892,           0.0013418,             0.96368,             0.96364,             0.98544,             0.93362,           0.0082934,           0.0031013,          0.00096477,            0.002971,            0.002971,            0.002971
                  73,            0.010727,           0.0039685,           0.0013272,             0.96724,             0.97273,              0.9876,             0.92851,           0.0082562,           0.0031829,          0.00092318,            0.002872,            0.002872,            0.002872
                  74,            0.010579,           0.0040374,           0.0012409,             0.95284,             0.99526,             0.98969,             0.95017,           0.0076393,           0.0028933,          0.00088643,            0.002773,            0.002773,            0.002773
                  75,            0.010372,             0.00381,           0.0011956,             0.96195,             0.97355,             0.98887,             0.94433,           0.0072458,           0.0030359,          0.00088516,            0.002674,            0.002674,            0.002674
                  76,            0.010122,           0.0038062,           0.0013044,             0.96337,             0.97273,             0.98518,             0.93644,            0.007886,            0.003073,          0.00085112,            0.002575,            0.002575,            0.002575
                  77,            0.010092,           0.0037919,           0.0011961,             0.96762,             0.96591,             0.98212,             0.93809,           0.0071401,           0.0029279,          0.00084544,            0.002476,            0.002476,            0.002476
                  78,            0.009785,           0.0037017,           0.0011708,             0.94915,             0.98409,             0.98646,             0.94862,            0.007301,           0.0030238,          0.00079754,            0.002377,            0.002377,            0.002377
                  79,            0.009899,           0.0036678,           0.0010658,             0.95925,             0.97016,             0.98546,             0.94301,           0.0072523,             0.00302,          0.00079195,            0.002278,            0.002278,            0.002278
                  80,           0.0095168,           0.0037002,            0.001158,             0.97083,             0.96355,             0.98001,             0.94198,           0.0076573,           0.0031988,          0.00077609,            0.002179,            0.002179,            0.002179
                  81,            0.009476,           0.0036188,           0.0010142,             0.95834,              0.9801,             0.98473,             0.95263,           0.0070434,           0.0030873,          0.00075803,             0.00208,             0.00208,             0.00208
                  82,            0.009172,           0.0035522,           0.0012158,             0.96997,             0.96364,             0.98546,             0.94454,           0.0071773,           0.0029878,          0.00073753,            0.001981,            0.001981,            0.001981
                  83,           0.0089066,           0.0036153,           0.0010134,             0.95308,             0.98548,             0.98415,               0.944,           0.0072589,            0.003031,          0.00071388,            0.001882,            0.001882,            0.001882
                  84,           0.0088063,           0.0034736,           0.0010333,             0.97852,             0.96364,             0.97829,             0.93801,           0.0072122,           0.0030268,          0.00069003,            0.001783,            0.001783,            0.001783
                  85,           0.0086611,           0.0036382,          0.00088145,             0.97232,             0.96832,             0.98799,               0.952,           0.0068542,           0.0031705,          0.00066343,            0.001684,            0.001684,            0.001684
                  86,           0.0082129,           0.0034897,          0.00094759,             0.97763,             0.96533,             0.98688,             0.94721,           0.0070201,           0.0030219,          0.00062791,            0.001585,            0.001585,            0.001585
                  87,           0.0081647,           0.0034701,          0.00096445,             0.98205,             0.96364,             0.98778,             0.95267,           0.0071291,            0.002981,          0.00061612,            0.001486,            0.001486,            0.001486
                  88,           0.0079402,           0.0033512,          0.00078564,             0.98105,             0.96326,             0.98617,             0.94681,           0.0068194,           0.0029976,          0.00060976,            0.001387,            0.001387,            0.001387
                  89,           0.0078397,           0.0034362,          0.00078982,             0.96996,             0.97278,             0.98858,             0.94752,           0.0068993,           0.0029877,          0.00057947,            0.001288,            0.001288,            0.001288
                  90,           0.0078402,           0.0033767,            0.001154,             0.98016,             0.97017,             0.98852,             0.95512,           0.0066409,           0.0029541,          0.00054961,            0.001189,            0.001189,            0.001189
                  91,           0.0075686,           0.0032509,          0.00078861,             0.98258,             0.96613,              0.9866,             0.94301,           0.0069363,           0.0031239,          0.00052983,             0.00109,             0.00109,             0.00109
                  92,           0.0072852,           0.0033239,           0.0007199,             0.97429,             0.96349,             0.98679,             0.94806,           0.0063634,           0.0029913,           0.0005131,            0.000991,            0.000991,            0.000991
                  93,           0.0070835,           0.0031247,          0.00069646,             0.97997,              0.9677,             0.98852,             0.95285,           0.0065689,           0.0030276,          0.00047749,            0.000892,            0.000892,            0.000892
                  94,           0.0070489,           0.0032023,          0.00066023,             0.97945,             0.97273,              0.9866,             0.96298,           0.0064314,           0.0030792,          0.00046205,            0.000793,            0.000793,            0.000793
                  95,           0.0069935,           0.0031615,          0.00064959,              0.9766,             0.97273,              0.9856,             0.95277,           0.0064449,           0.0030696,          0.00044315,            0.000694,            0.000694,            0.000694
                  96,           0.0070124,           0.0030571,          0.00070539,             0.97619,             0.96967,             0.98752,             0.95407,           0.0063581,           0.0029444,          0.00042759,            0.000595,            0.000595,            0.000595
                  97,           0.0067835,           0.0029842,          0.00069615,             0.97753,             0.96537,             0.98608,             0.95406,           0.0062172,           0.0029062,          0.00040576,            0.000496,            0.000496,            0.000496
                  98,           0.0067121,           0.0029879,          0.00062201,             0.97691,             0.97023,             0.98652,              0.9541,           0.0061019,           0.0030283,          0.00038362,            0.000397,            0.000397,            0.000397
                  99,           0.0067003,           0.0031026,          0.00061712,             0.97937,             0.96545,             0.98852,              0.9589,           0.0060082,           0.0029951,          0.00036921,            0.000298,            0.000298,            0.000298
